Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
mi-16-178-09-430,MALETA P/TESTEO SISTEMA RADIADOR AUTOMOTRIZ VONDER,MALETA P/TESTEO SISTEMA RADIADOR AUTOMOTRIZ VONDER,Vonder,Herramientas,"Taller, Vonder",TRUE,Título,Default Title,16-178-09-430,162787.00,,10,deny,https://montevideoindustrial.com.uy/wp-content/uploads/2024/01/1-6.jpg,1,,
mi-16-002-09-005,JUEGO DE HERRAMIENTAS 110pzas. 3599110104 VONDER,JUEGO DE HERRAMIENTAS 110pzas. 3599110104 VONDER,Vonder,Herramientas,"Cajas de Herramientas, Vonder",TRUE,Título,Default Title,16-002-09-005,6613.00,,10,deny,https://montevideoindustrial.com.uy/wp-content/uploads/2024/07/1-3.jpg,1,,
mi-16-045-09-020,JUEGO DE DADOS Y PUNTAS 108pzas: Enc.1/4″ Y 1/2″ 3029000108 VONDER,JUEGO DE DADOS Y PUNTAS 108pzas: Enc.1/4″ Y 1/2″ 3029000108 VONDER,Vonder,Herramientas,"Dados, Vonder",TRUE,Título,Default Title,16-045-09-020,1908.00,,10,deny,https://montevideoindustrial.com.uy/wp-content/uploads/2024/07/1-29.jpg,1,,
mi-16-045-09-010,JUEGO DE DADOS Y PUNTAS METRICO 4-13MM 33pzas. Enc.1/4″ 3029014033 VONDER,JUEGO DE DADOS Y PUNTAS METRICO 4-13MM 33pzas. Enc.1/4″ 3029014033 VONDER,Vonder,Herramientas,"Dados, Vonder",TRUE,Título,Default Title,16-045-09-010,8396.00,,10,deny,https://montevideoindustrial.com.uy/wp-content/uploads/2024/07/1.jpg,1,,
mi-16-178-09-405,MALETA P/DETECCION DE FUGAS DE COMPRESION EN CILINDRO MOTOR VONDER,MALETA P/DETECCION DE FUGAS DE COMPRESION EN CILINDRO MOTOR VONDER,Vonder,Herramientas,"Taller, Vonder",TRUE,Título,Default Title,16-178-09-405,3166.00,,10,deny,https://montevideoindustrial.com.uy/wp-content/uploads/2023/08/16-178-09-405.jpg,1,,
mi-16-178-09-410,MALETA MEDIDOR DE COMPRESION P/MOTOR 0-300PSI VONDER,MALETA MEDIDOR DE COMPRESION P/MOTOR 0-300PSI VONDER,Vonder,Herramientas,"Taller, Vonder",TRUE,Título,Default Title,16-178-09-410,1959.00,,10,deny,https://montevideoindustrial.com.uy/wp-content/uploads/2023/08/16-178-09-410.jpg,1,,
mi-16-165-09-002,MEDIDOR DE DISTANCIA LÁSER 100mts. MDV100 VONDER,MEDIDOR DE DISTANCIA LÁSER 100mts. MDV100 VONDER,Vonder,Herramientas,"Cintas Métricas – Agrimensor, Vonder",TRUE,Título,Default Title,16-165-09-002,9000.00,,10,deny,https://montevideoindustrial.com.uy/wp-content/uploads/2023/01/16-165-09-002.jpg,1,,
mi-20-141-09-010,EQUIPO DE PINTAR AIRLESS MPA120 1.2HP/900W 15.5Kg. 6220001220 VONDER,EQUIPO DE PINTAR AIRLESS MPA120 1.2HP/900W 15.5Kg. 6220001220 VONDER,Vonder,Herramientas,"Taller, Vonder",TRUE,Título,Default Title,20-141-09-010,34829.00,,10,deny,https://montevideoindustrial.com.uy/wp-content/uploads/2023/01/20-141-09-010.jpg,1,,
mi-20-141-09-012,EQUIPO DE PINTAR AIRLESS MPA1010 * 1010W VONDER,EQUIPO DE PINTAR AIRLESS MPA1010 * 1010W VONDER,Vonder,Herramientas,"Taller, Vonder",TRUE,Título,Default Title,20-141-09-012,18737.00,,10,deny,https://montevideoindustrial.com.uy/wp-content/uploads/2023/01/20-141-09-012.jpg,1,,
mi-23-101-09-004,GUINCHE ELECTRICO 300/600Kg. 220V GEV600 VONDER,GUINCHE ELECTRICO 300/600Kg. 220V GEV600 VONDER,Vonder,Herramientas,"Gatos Hidráulicos, Vonder",TRUE,Título,Default Title,23-101-09-004,16487.00,,10,deny,https://montevideoindustrial.com.uy/wp-content/uploads/2023/01/23-101-09-004.jpg,1,,
